THUMB,INDEX,MIDDLE,RING,LITTLE,G1,G2,G3,LABEL
666,732,700,965,969,15120,-736,6704,1
666,732,701,965,969,15208,-1344,6440,1
665,732,701,965,968,15264,-1724,6492,1
665,732,701,965,969,15444,-996,6540,1
665,732,701,965,968,15536,-1216,6436,1
665,732,701,965,968,15112,-796,6268,1
665,731,701,965,968,15224,-1096,6504,1
665,732,701,965,968,15140,-1104,6692,1
665,732,701,965,968,15104,-788,6384,1
665,732,701,965,968,15388,-972,5668,1
665,732,701,964,968,15176,-844,6676,1
665,732,701,965,968,15208,-1060,6488,1
665,732,701,965,968,15256,-876,6524,1
665,732,701,965,968,15244,-1040,6172,1
665,732,701,965,968,15228,-920,6552,1
665,732,701,965,968,15212,-1284,6592,1
665,731,701,965,968,15388,-1240,7084,1
665,732,701,965,968,15072,-1040,6132,1
665,732,702,965,968,15380,-1012,6180,1
665,732,702,965,968,15200,-1272,6900,1
665,732,702,965,968,14912,-1868,6008,1
665,732,702,965,968,15452,-1468,6272,1
665,732,701,964,968,15216,-892,6284,1
665,732,701,964,968,15284,-1200,6620,1
665,732,701,964,968,15348,-1264,6712,1
665,732,701,964,968,15136,-1144,6392,1
665,732,701,964,968,15152,-1088,6372,1
665,732,700,964,968,15080,-1616,6392,1
669,733,701,964,968,15148,-2600,5924,1
667,733,701,964,968,15584,-2152,5368,1
666,733,701,964,968,15576,-2168,5012,1
666,733,701,964,968,15404,-2284,4944,1
665,733,701,964,968,15192,-1676,5088,1
666,733,701,964,968,15196,-1260,5588,1
673,733,703,964,968,15740,-644,5648,1
669,733,703,964,968,15196,-200,6184,1
669,733,702,964,967,15252,-916,6652,1
669,733,702,964,968,15088,-692,6504,1
668,733,701,964,967,15084,-1504,6840,1
667,733,701,964,967,14340,-1816,7080,1
665,733,701,964,967,15108,-2088,6800,1
665,733,701,964,967,14648,-1676,7160,1
665,733,700,964,967,14568,-640,7188,1
666,732,702,964,967,14572,-64,7468,1
666,732,701,964,967,13844,1008,8808,1
671,732,702,964,967,13284,1300,8720,1
664,732,701,964,967,13960,1220,8960,1
668,732,701,964,967,13212,3640,10080,1
666,732,703,964,967,13788,808,8716,1
666,732,700,964,967,13148,1256,10048,1
666,732,701,964,967,12544,1464,10320,1
666,732,701,963,967,12148,2184,8908,1
666,732,702,964,967,12908,2092,10328,1
665,732,702,963,967,12348,3176,9768,1
666,732,704,963,967,12380,2660,9568,1
665,732,703,963,967,12860,2260,10660,1
665,732,705,963,966,12008,1128,10680,1
666,732,705,963,966,12208,860,10860,1
666,732,702,963,966,12532,1172,10468,1
665,732,703,963,966,13412,436,9320,1
664,732,702,963,966,14088,276,9128,1
665,733,701,963,966,13900,-184,8160,1
664,733,701,963,966,14484,-124,7908,1
665,733,701,963,966,14664,80,7640,1
665,733,702,963,966,14832,140,7152,1
665,733,702,963,966,14856,-340,6700,1
665,733,702,963,965,15224,-232,6308,1
665,733,702,963,966,15404,-24,6520,1
665,733,702,963,966,14980,-312,5640,1
667,733,703,963,965,15356,-676,6012,1
666,733,703,963,966,15188,-1108,5984,1
663,734,702,963,965,15124,-2232,6376,1
662,733,702,963,965,15368,-2544,6460,1
665,733,703,963,965,15452,-2312,5852,1
667,733,703,963,965,15352,-2692,5352,1
667,733,704,963,965,15860,-2912,5228,1
662,734,702,963,965,15812,-2732,4720,1
662,734,702,963,965,15836,-2692,4924,1
662,734,702,963,965,15148,-2840,5364,1
662,734,701,963,965,15344,-3424,6160,1
662,734,702,963,965,15176,-2904,6388,1
662,734,702,963,965,14728,-3152,6756,1
663,734,702,963,965,14788,-2488,7396,1
663,734,702,963,966,14540,-2372,7900,1
663,733,702,963,965,14468,-2720,8044,1
663,733,702,963,965,14628,-2296,7812,1
663,733,702,963,965,14116,-2392,8020,1
663,733,702,963,965,14176,-2392,7696,1
663,733,702,963,965,14324,-1924,7916,1
663,733,702,963,965,14172,-1944,8296,1
663,733,701,963,965,14352,-1812,7788,1
663,733,712,963,965,14304,-1712,8020,1
663,733,712,962,965,14268,-1744,8040,1
663,733,696,963,965,14124,-1576,7500,1
663,733,704,962,965,14236,-1732,8000,1
663,733,698,962,965,14344,-1876,7664,1
663,733,694,962,965,14760,-1792,7452,1
663,733,697,962,965,14572,-1664,7456,1
662,733,697,963,965,14684,-1228,7664,1
663,734,699,962,965,14704,-1168,7200,1
663,733,700,962,965,14808,-1088,7348,1
663,733,700,962,965,14552,-1012,7920,1
663,733,701,962,965,14240,-788,8612,1
663,733,701,962,965,13776,-556,8872,1
663,733,701,962,965,13616,-4,9676,1
